Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,
2018,5,26,1200,2400,1047,511,,
2018,5,27,,,,512,,
2018,5,28,1250,2500,89,513,,
2018,5,29,1250,2500,1277,514,,
2018,5,30,1225,2500,922,515,,
2018,5,31,1225,2500,1051,516,,
2018,6,1,1225,2500,1066,517,,
2018,6,2,1225,2500,1020,518,,
2018,6,3,,,,519,,
2018,6,4,1275,2500,86,520,,
2018,6,5,1275,2500,1671,521,,
2018,6,6,1275,2500,865,522,,
2018,6,7,1275,2500,1082,523,,
2018,6,8,1275,2500,974,524,,
2018,6,9,1275,2500,954,525,,
2018,6,10,,,,526,,
2018,6,11,1275,2500,122,527,,
2018,6,12,1275,2500,1339,528,,
2018,6,13,1150,2500,1087,529,,
2018,6,14,1150,2500,1070,530,,
2018,6,15,1150,2500,914,531,,
2018,6,16,,,,532,,
2018,6,17,,,,533,,
2018,6,18,,,,534,,
2018,6,19,1150,2500,1321,535,,
2018,6,20,1150,2500,880,536,,
2018,6,21,1150,2500,1218,537,,
2018,6,22,1150,2500,1315,538,,
2018,6,23,1150,2500,1009,539,,
2018,6,24,,,,540,,
2018,6,25,1150,2500,124,541,,
2018,6,26,1125,2500,1512,542,,
2018,6,27,1125,2500,834,543,,
2018,6,28,1125,2500,1003,544,,
2018,6,29,1425,3000,1161,545,,
2018,6,30,1425,3000,1030,546,,
2018,7,1,,,,547,,
2018,7,2,1425,3000,64,548,,
2018,7,3,1375,3000,1759,549,,
2018,7,4,1375,3000,957,550,,
2018,7,5,1400,3000,1035,551,,
2018,7,6,1400,3000,1158,552,,
2018,7,7,1400,3000,1433,553,,
2018,7,8,,,,554,,
2018,7,9,1400,3000,154,555,,
2018,7,10,1300,3000,2022,556,,
2018,7,11,1300,3000,1001,557,,
2018,7,12,1300,3000,853,558,,
2018,7,13,1300,3000,1103,559,,
2018,7,14,1300,3000,996,560,,
2018,7,15,,,,561,,
2018,7,16,1300,3000,108,562,,
2018,7,17,1300,3000,1460,563,,
2018,7,18,1300,3000,1221,564,,
2018,7,19,1325,3000,1314,565,,
2018,7,20,1300,3000,1270,566,,
2018,7,21,1350,2800,1237,567,,
2018,7,22,,,,568,,
2018,7,23,1500,3000,191,569,,
2018,7,24,1675,3000,1568,570,,
2018,7,25,1675,3000,1043,571,,
2018,7,26,1650,3000,1176,572,,
2018,7,27,1550,3000,1079,573,,
2018,7,28,1650,3000,989,574,,
2018,7,29,,,,575,,
2018,7,30,1650,3000,77,576,,
2018,7,31,1700,3000,2081,577,,
2018,8,1,1700,3000,1455,578,,
2018,8,2,1700,3000,1395,579,,
2018,8,3,1700,3000,1508,580,,
2018,8,4,1800,3200,1587,581,,
2018,8,5,,,,582,,
2018,8,6,,,,583,,
2018,8,7,1800,3200,1856,584,,
2018,8,8,1800,3200,933,585,,
2018,8,9,1800,3200,1132,586,,
2018,8,10,1800,3200,1067,587,,
2018,8,11,1650,3200,1372,588,,
2018,8,12,,,,589,,
2018,8,13,1650,3200,133,590,,
2018,8,14,1650,3200,1874,591,,
2018,8,15,,,,592,,
2018,8,16,1650,3200,172,593,,
2018,8,17,1650,3200,1988,594,,
2018,8,18,1650,3200,1142,595,,
2018,8,19,,,,596,,
2018,8,20,1550,3200,217,597,,
2018,8,21,1550,3000,1895,598,,
2018,8,22,,,,599,,
2018,8,23,1550,3000,804,600,,
2018,8,24,1550,3000,1088,601,,
2018,8,25,1600,3200,875,602,,
2018,8,26,,,,603,,
2018,8,27,1600,3200,97,604,,
2018,8,28,1600,3200,973,605,,
2018,8,29,1600,3200,1318,606,,
2018,8,30,1600,3200,1375,607,,
2018,8,31,1600,3200,1121,608,,
2018,9,1,1600,3200,1261,609,,
2018,9,2,,,,610,,
2018,9,3,,,,611,,
2018,9,4,1700,3400,1410,612,,
2018,9,5,1850,3500,1080,613,,
2018,9,6,2000,3500,1397,614,,
2018,9,7,2000,3500,1255,615,,
2018,9,8,2000,3200,1447,616,,
2018,9,9,,,,617,,
2018,9,10,2000,3200,158,618,,
2018,9,11,2000,3200,1589,619,,
2018,9,12,2000,3200,1290,620,,
2018,9,13,2000,3200,1055,621,,
2018,9,14,2000,3200,1449,622,,
2018,9,15,2000,3000,1241,623,,
2018,9,16,,,,624,,
2018,9,17,2000,3000,164,625,,
2018,9,18,2000,3000,2127,626,,
2018,9,19,2000,3000,976,627,,
2018,9,20,1800,3000,1259,628,,
2018,9,21,,,,629,,
2018,9,22,1800,3000,1212,630,,
2018,9,23,,,,631,,
2018,9,24,1800,3000,141,632,,
2018,9,25,1700,3000,1659,633,,
2018,9,26,1800,3200,998,634,,
2018,9,27,1800,3200,970,635,,
2018,9,28,1800,3200,1087,636,,
2018,9,29,1800,3200,1302,637,,
2018,9,30,,,,638,,
2018,10,1,2000,3500,158,639,,
2018,10,2,,,,640,,
2018,10,3,2000,3500,242,641,,
2018,10,4,2000,3500,2080,642,,
2018,10,5,2000,3500,1322,643,,
2018,10,6,2000,3500,1448,644,,
2018,10,7,,,,645,,
2018,10,8,2000,3200,377,646,,
2018,10,9,1800,3000,2346,647,,
2018,10,10,1700,3000,1209,648,,
2018,10,11,1700,3000,1407,649,,
2018,10,12,1700,3000,1499,650,,
2018,10,13,1700,3000,1823,651,,
2018,10,14,,,,652,,
2018,10,15,1600,3000,2305,653,,
2018,10,16,1600,3000,2206,654,,
2018,10,17,1600,3000,1408,655,,
2018,10,18,1600,3000,1826,656,,
2018,10,19,,,,657,,
2018,10,20,1600,3000,931,658,,
2018,10,21,,,,659,,
2018,10,22,1500,3000,173,660,,
2018,10,23,1500,3000,1936,661,,
2018,10,24,1500,3000,1526,662,,
2018,10,25,1500,3000,1328,663,,
2018,10,26,1500,3000,1246,664,,
2018,10,27,1500,3000,1182,665,,
2018,10,28,,,,666,,
2018,10,29,1500,3000,141,667,,
2018,10,30,1500,3000,1994,668,,
2018,10,31,1500,3000,1228,669,,
2018,11,1,1500,3000,1702,670,,
2018,11,2,1500,3000,1409,671,,
2018,11,3,1500,3000,1443,672,,
2018,11,4,,,,673,,
